Encuesta de Población Activa
Parados
Tasas de paro por distintos grupos de edad, sexo y comunidad autónoma
Unidades: Tasas
;Total;
;2018T2;
Ambos sexos;
    Nacional;15.28;
    01 Andalucía;23.09;
    02 Aragón;9.97;
    03 Asturias, Principado de;13.1;
    04 Balears, Illes;11.22;
    05 Canarias;20.06;
    06 Cantabria;11.57;
    07 Castilla y León;12.0;
    08 Castilla - La Mancha;19.11;
    09 Cataluña;11.39;
    10 Comunitat Valenciana;15.64;
    11 Extremadura;23.85;
    12 Galicia;13.99;
    13 Madrid, Comunidad de;12.08;
    14 Murcia, Región de;16.29;
    15 Navarra, Comunidad Foral de;9.93;
    16 País Vasco;10.12;
    17 Rioja, La;10.68;
    18 Ceuta;29.46;
    19 Melilla;27.96;
Notas:
Los resultados de Ceuta y Melilla deben tomarse con precaución porque pueden estar afectados por grandes errores de muestreo.
Fuente: Instituto Nacional de Estadística
