Encuesta de Población Activa
Resultados por comunidades autónomas	
Población por grupo de edad, sexo y comunidad autónoma. Valores absolutos
Unidades: Miles Personas
;Total;
;2017;
Ambos sexos;
    Nacional;46079.7;
    01 Andalucía;8347.5;
    02 Aragón;1293.2;
    03 Asturias, Principado de;1022.5;
    04 Balears, Illes;1143.1;
    05 Canarias;2136.1;
    06 Cantabria;575.5;
    07 Castilla y León;2378.4;
    08 Castilla - La Mancha;2009.3;
    09 Cataluña;7375.6;
    10 Comunitat Valenciana;4908.5;
    11 Extremadura;1064.5;
    12 Galicia;2686.2;
    13 Madrid, Comunidad de;6421.2;
    14 Murcia, Región de;1464.2;
    15 Navarra, Comunidad Foral de;632.0;
    16 País Vasco;2145.4;
    17 Rioja, La;308.1;
    18 Ceuta;84.2;
    19 Melilla;84.0;
Notas:
Fuente: Instituto Nacional de Estadística
